found: 535
size 3084 cubes 
size 510 bigP 3643
19^3 = 6859 =  a:3 b:10 c:18
983^3 = 949862087 =  a:272 b:687 c:846
991^3 = 973242271 =  a:603 b:705 c:739
1013^3 = 1039509197 =  a:101 b:730 c:866
1013^3 = 1039509197 =  a:446 b:677 c:862
1013^3 = 1039509197 =  a:99 b:563 c:951
1019^3 = 1058089859 =  a:107 b:706 c:890
1031^3 = 1095912791 =  a:218 b:566 c:967
1031^3 = 1095912791 =  a:268 b:719 c:890
1031^3 = 1095912791 =  a:359 b:758 c:850
1031^3 = 1095912791 =  a:394 b:719 c:872
1033^3 = 1102302937 =  a:330 b:529 c:972
1033^3 = 1102302937 =  a:599 b:691 c:823
1049^3 = 1154320649 =  a:232 b:698 c:929
1049^3 = 1154320649 =  a:33 b:522 c:1004
1049^3 = 1154320649 =  a:418 b:698 c:905
1051^3 = 1160935651 =  a:316 b:731 c:904
1051^3 = 1160935651 =  a:426 b:555 c:970
1063^3 = 1201157047 =  a:159 b:582 c:1000
1069^3 = 1221611509 =  a:279 b:339 c:1051
1069^3 = 1221611509 =  a:453 b:664 c:942
1087^3 = 1284365503 =  a:218 b:670 c:991
1093^3 = 1305751357 =  a:274 b:330 c:1077
1103^3 = 1341919727 =  a:326 b:647 c:1012
1103^3 = 1341919727 =  a:501 b:657 c:977
1109^3 = 1363938029 =  a:217 b:875 c:881
1109^3 = 1363938029 =  a:398 b:837 c:894
1117^3 = 1393668613 =  a:466 b:773 c:940
1123^3 = 1416247867 =  a:466 b:838 c:899
1129^3 = 1439069689 =  a:151 b:367 c:1115
1129^3 = 1439069689 =  a:193 b:734 c:1012
1151^3 = 1524845951 =  a:482 b:596 c:1063
1153^3 = 1532808577 =  a:20 b:646 c:1081
1181^3 = 1647212741 =  a:142 b:437 c:1160
1181^3 = 1647212741 =  a:293 b:394 c:1160
1181^3 = 1647212741 =  a:29 b:636 c:1116
1181^3 = 1647212741 =  a:622 b:716 c:1013
1181^3 = 1647212741 =  a:80 b:229 c:1178
1187^3 = 1672446203 =  a:603 b:701 c:1035
1193^3 = 1697936057 =  a:192 b:681 c:1112
1193^3 = 1697936057 =  a:649 b:794 c:974
1217^3 = 1802485313 =  a:257 b:752 c:1108
1223^3 = 1829276567 =  a:242 b:815 c:1084
1229^3 = 1856331989 =  a:526 b:605 c:1142
1229^3 = 1856331989 =  a:58 b:605 c:1178
1229^3 = 1856331989 =  a:813 b:822 c:914
